Posicion,Pelicula,Ingreso Bruto,Ingreso Total,Fecha de estreno,Distribuidora,Mes actual
1,Barbie,366422042,366422042,Jul 21,Warner Bros.,july
2,Oppenheimer,181420520,181420520,Jul 21,Universal Pictures,july
3,Sound of Freedom,151377819,151377819,Jul 4,Angel Studios,july
4,Indiana Jones and the Dial of Destiny,143954992,143954992,Jun 30,Walt Disney Studios Motion Pictures,july
5,Mission: Impossible - Dead Reckoning Part One,140519062,140519062,Jul 12,Paramount Pictures,july
6,Insidious: The Red Door,78582040,78582040,Jul 7,Screen Gems,july
7,Elemental,64651439,64651439,Jun 16,Walt Disney Studios Motion Pictures,july
8,Spider-Man: Across the Spider-Verse,47198875,47198875,Jun 2,Columbia Pictures,july
9,Haunted Mansion,26457187,26457187,Jul 28,Walt Disney Studios Motion Pictures,july
10,No Hard Feelings,26161697,26161697,Jun 23,Sony Pictures Entertainment (SPE),july
11,Transformers: Rise of the Beasts,25646277,25646277,Jun 9,Paramount Pictures,july
12,The Little Mermaid,19537582,19537582,May 26,Walt Disney Studios Motion Pictures,july
13,"Ruby Gillman, Teenage Kraken",13281710,13281710,Jun 30,DreamWorks,july
14,Joy Ride,12861615,12861615,Jul 7,Lionsgate,july
15,The Flash,12237595,12237595,Jun 16,Warner Bros.,july
16,Asteroid City,12123440,12123440,Jun 16,Focus Features,july
17,Talk to Me,11791260,11791260,Jul 28,A24,july
18,Past Lives,5519018,5519018,Jun 2,A24,july
19,Guardians of the Galaxy Vol. 3,5351961,5351961,May 5,Walt Disney Studios Motion Pictures,july
20,The Boogeyman,3382731,3382731,Jun 2,Walt Disney Studios Motion Pictures,july
21,The Blackening,3294624,3294624,Jun 16,Lionsgate,july
22,The Miracle Club,1606255,1606255,Jul 14,Sony Pictures Entertainment (SPE),july
23,Theater Camp,1603349,1603349,Jul 14,Searchlight Pictures,july
24,The Super Mario Bros. Movie,797505,797505,Apr 5,Universal Pictures,july
25,Fast X,765540,765540,May 19,Universal Pictures,july
26,The First Slam Dunk,745455,745455,Jul 28,GKIDS,july
27,Terrifier,338511,338511,Jul 19,-,july
28,The Lesson,310746,310746,Jul 7,-,july
29,Psycho-Pass: Providence,309757,309757,Jul 14,Crunchyroll,july
30,UFC 291: Poirier vs. Gaethje 2,308825,308825,Jul 29,-,july
31,The Essential Church,295405,295405,Jul 28,Atlas Distribution Company,july
32,Every Body,226245,226245,Jun 30,Focus Features,july
33,Go West,210526,210526,Jul 19,Purdie Distribution,july
34,About My Father,176625,176625,May 26,Lionsgate,july
35,You Hurt My Feelings,137897,137897,May 26,A24,july
36,Afire,120243,120243,Jul 14,Sideshow Releasing,july
37,Contempt,119913,119913,Jun 30,Rialto Pictures,july
38,The Roundup: No Way Out,85751,85751,Jun 2,Capelight Pictures,july
39,The League,62309,62309,Jul 14,Magnolia Pictures,july
40,Biosphere,60149,60149,Jul 7,IFC Films,july
41,Close to Vermeer,52038,52038,May 26,Kino Lorber,july
42,It Ain't Over,47642,47642,May 12,Sony Pictures Entertainment (SPE),july
